date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:45:20	1387/1387	URF---	200	added ('OK%20(cached)')	image/png		https://storage.googleapis.com/themevessel-products/logdy/main/assets/img/logos/logo-2.png	/home/arshdeep/websites/Psypher_files/storage.googleapis.com/themevessel-products/logdy/main/assets/img/logos/logo-2.png	(from https://storage.googleapis.com/themevessel-products/logdy/main/login-3.html)
08:45:21	85588/85588	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://storage.googleapis.com/themevessel-products/logdy/main/assets/js/jquery-2.2.0.min.js	/home/arshdeep/websites/Psypher_files/storage.googleapis.com/themevessel-products/logdy/main/assets/js/jquery-2.2.0.min.js	(from https://storage.googleapis.com/themevessel-products/logdy/main/login-3.html)
08:45:21	19187/19187	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://storage.googleapis.com/themevessel-products/logdy/main/assets/js/popper.min.js	/home/arshdeep/websites/Psypher_files/storage.googleapis.com/themevessel-products/logdy/main/assets/js/popper.min.js	(from https://storage.googleapis.com/themevessel-products/logdy/main/login-3.html)
08:45:22	4286/4286	URF---	200	added ('OK%20(cached)')	image/x-icon		https://storage.googleapis.com/themevessel-products/logdy/main/assets/img/favicon.ico	/home/arshdeep/websites/Psypher_files/storage.googleapis.com/themevessel-products/logdy/main/assets/img/favicon.ico	(from https://storage.googleapis.com/themevessel-products/logdy/main/login-3.html)
08:45:22	48944/48944	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://storage.googleapis.com/themevessel-products/logdy/main/assets/js/bootstrap.min.js	/home/arshdeep/websites/Psypher_files/storage.googleapis.com/themevessel-products/logdy/main/assets/js/bootstrap.min.js	(from https://storage.googleapis.com/themevessel-products/logdy/main/login-3.html)
08:45:24	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22674f50d287a8c48dc19ba404d20fe713%22	https://storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/font-awesome/fonts/fontawesome-webfont.eot?v=4.7.0	/home/arshdeep/websites/Psypher_files/storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/font-awesome/fonts/fontawesome-webfont3e6e.eot	(from https://storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/font-awesome/css/font-awesome.min.css)
08:45:24	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22674f50d287a8c48dc19ba404d20fe713%22	https://storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/font-awesome/fonts/fontawesome-webfont.eot?	/home/arshdeep/websites/Psypher_files/storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/font-awesome/fonts/fontawesome-webfontd41d.eot	(from https://storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/font-awesome/css/font-awesome.min.css)
08:45:25	77160/77160	---M--	200	added ('OK')	application/octet-stream	etag:%22af7ae505a9eed503f8b8e6982036873e%22	https://storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0	/home/arshdeep/websites/Psypher_files/storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/font-awesome/fonts/fontawesome-webfont3e6e.woff2	(from https://storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/font-awesome/css/font-awesome.min.css)
08:45:27	98024/98024	---M--	200	added ('OK')	application/font-woff	etag:%22fee66e712a8a08eef5805a46892932ad%22	https://storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/font-awesome/fonts/fontawesome-webfont.woff?v=4.7.0	/home/arshdeep/websites/Psypher_files/storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/font-awesome/fonts/fontawesome-webfont3e6e.woff	(from https://storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/font-awesome/css/font-awesome.min.css)
08:45:28	165548/165548	---M--	200	added ('OK')	application/font-sfnt	etag:%22b06871f281fee6b241d60582ae9369b9%22	https://storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/font-awesome/fonts/fontawesome-webfont.ttf?v=4.7.0	/home/arshdeep/websites/Psypher_files/storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/font-awesome/fonts/fontawesome-webfont3e6e.ttf	(from https://storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/font-awesome/css/font-awesome.min.css)
08:45:29	444379/444379	---M--	200	added ('OK')	image/svg+xml	etag:%22912ec66d7572ff821749319396470bde%22	https://storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/font-awesome/fonts/fontawesome-webfont.svg?v=4.7.0	/home/arshdeep/websites/Psypher_files/storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/font-awesome/fonts/fontawesome-webfont3e6e.svg	(from https://storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/font-awesome/css/font-awesome.min.css)
08:45:30	6334/6334	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22701cdf13f7a5b3c3807c60ad864fce35%22	https://storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/flaticon/font/Flaticon.eot	/home/arshdeep/websites/Psypher_files/storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/flaticon/font/Flaticon.eot	(from https://storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/flaticon/font/flaticon.css)
08:45:32	6334/6334	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22701cdf13f7a5b3c3807c60ad864fce35%22	https://storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/flaticon/font/Flaticon.eot?	/home/arshdeep/websites/Psypher_files/storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/flaticon/font/Flaticond41d.eot	(from https://storage.googleapis.com/themevessel-products/logdy/main/assets/fonts/flaticon/font/flaticon.css)
